Date,Open,High,Low,Close,Volume
02-08-2023,3355.3501,3355.3501,3355.3501,3355.3501,0
03-08-2023,3425,3432.7,3367.3,3399.7,89034
04-08-2023,3391.1001,3470.1499,3391.1001,3442.3,73311
07-08-2023,3443,3487.75,3442,3483.75,48564
08-08-2023,3483.8501,3487.5,3457.1001,3469.8501,81770
09-08-2023,3469,3469,3425,3464,53047
10-08-2023,3444.05,3455,3431,3443.45,85997
11-08-2023,3440,3466.3999,3415,3449.3501,121004
14-08-2023,3425.05,3454.5,3410.3,3449.8501,88531
16-08-2023,3455,3465.05,3434,3457.55,38718
17-08-2023,3457.55,3461,3414,3441.3501,62318
18-08-2023,3411.3,3412.5,3350,3367.6499,584952
21-08-2023,3367,3409,3366.95,3401.75,62020
22-08-2023,3401.75,3410,3366,3383.25,69816
23-08-2023,3383.3,3401.8999,3375.8999,3399.45,130854
24-08-2023,3405,3413.55,3378.3501,3388.8,101202
25-08-2023,3375,3385,3350,3380.6001,155554
28-08-2023,3386.05,3391.8,3360,3375,82413
29-08-2023,3376.05,3389.3999,3366,3377.6499,63180
30-08-2023,3390,3408.6499,3382.05,3390.05,116058
31-08-2023,3392.2,3416.5,3345,3357.05,25911
01-09-2023,3359.05,3389,3357.05,3379.2,47394
04-09-2023,3371.05,3432.55,3370.05,3417.8501,36795
05-09-2023,3417.8501,3447,3406,3427.8501,41368
06-09-2023,3429.55,3443.6001,3400,3429.8501,36225
07-09-2023,3445.95,3462,3423,3455.55,37771
08-09-2023,3445.05,3463.5,3435.1001,3443.25,189880
11-09-2023,3451.1499,3484.5,3445.1001,3479.3501,93745
12-09-2023,3485.05,3589.8501,3484.05,3580.6001,102261
13-09-2023,3562.55,3588,3545.05,3565.55,36826
14-09-2023,3567.8501,3597.6499,3546.05,3559.1499,24854
15-09-2023,3562,3606.5,3562,3599.8501,49097
18-09-2023,3583.95,3618.95,3574.05,3604.8999,85875
20-09-2023,3561.05,3625,3561.05,3606.55,32742
21-09-2023,3590,3604.25,3528.1001,3583.95,103196
22-09-2023,3580.05,3633.05,3564.55,3602.6499,32498
25-09-2023,3599.8999,3611,3560.05,3577.45,84429
26-09-2023,3577.3999,3593.1001,3536.3501,3583.1499,113520
27-09-2023,3595.95,3613,3555.6001,3587.6499,26350
28-09-2023,3599.95,3602.55,3528.8,3537.25,374575
29-09-2023,3535,3568,3506,3530.75,83502
03-10-2023,3531.05,3534.75,3480,3515.25,110749
04-10-2023,3485.6001,3546,3477,3536.6499,282695
05-10-2023,3557.95,3624,3553.6499,3589.1001,64884
06-10-2023,3590,3634.25,3576.95,3620.2,251185
09-10-2023,3654,3680,3630,3637.25,136192
10-10-2023,3639.95,3650,3601.8999,3629.2,57937
11-10-2023,3664,3664,3606,3610.2,530680
12-10-2023,3585,3588.75,3539,3542.25,205521
13-10-2023,3529.95,3579.2,3525,3570.3,326628
16-10-2023,3564.95,3574.95,3517.75,3524.1499,41613
17-10-2023,3536.95,3536.95,3503.3501,3506.6499,79395
18-10-2023,3507.1001,3523.55,3485,3487.1499,35991
19-10-2023,3473.95,3478.3501,3451.8501,3454.75,216685
20-10-2023,3454.7,3500.45,3444.05,3494.25,391507
23-10-2023,3475,3480.1001,3401.7,3409,26553
25-10-2023,3399.95,3425.8999,3377,3389.8501,32271
26-10-2023,3369.8501,3372.5,3330.3999,3337.75,155481
27-10-2023,3357.8999,3363.05,3338.5,3350.55,342615
30-10-2023,3354,3382.8999,3333.25,3378.95,17188
31-10-2023,3386.05,3398.3,3350.55,3368.2,47077
01-11-2023,3354.75,3371.8999,3313,3332.55,16067
02-11-2023,3341.55,3375,3341.55,3359.95,39442
03-11-2023,3387.3999,3387.3999,3345.95,3350.8501,124559
06-11-2023,3364,3393.6499,3360,3385.3501,14209
07-11-2023,3385,3404.55,3366.05,3370.1001,38446
08-11-2023,3377.95,3402,3371.8501,3380.75,68334
09-11-2023,3391,3392.5,3343,3348.25,35061
10-11-2023,3343.95,3347,3322.3501,3332.8,253510
13-11-2023,3350,3357,3327,3331.7,32989
15-11-2023,3385.1001,3413,3360,3399.3,128174
16-11-2023,3467,3529,3415.5,3498,169895
17-11-2023,3518.95,3524.5,3494.05,3502.6499,271375
20-11-2023,3493.95,3533.1001,3493,3519.3,80442
21-11-2023,3523,3539.3999,3502,3510.3,48656
22-11-2023,3492.05,3532.45,3481,3529.8501,114862
23-11-2023,3539.75,3543.3999,3499,3508.95,196038
24-11-2023,3499,3504.8999,3452.25,3457.6001,365537
28-11-2023,3453,3480,3431.6001,3470.45,58924
29-11-2023,3475.1499,3517,3475.1499,3513.1001,98285
30-11-2023,3507.45,3515,3481.3,3493.3999,46364
01-12-2023,3495.1001,3517.1499,3490,3509.6001,441821
